cohort,mob,n,累计坏账率
2018Q2,19,91506,
2018Q2,20,91506,
2018Q2,21,91506,
2018Q2,22,91506,
2018Q2,23,91506,
2018Q2,24,91506,
2018Q2,25,91506,
2018Q2,26,91506,
2018Q2,27,91506,
2018Q2,28,91506,
2018Q2,29,91506,
2018Q2,30,91506,
2018Q3,1,89574,0.0
2018Q3,2,89574,0.0
2018Q3,3,89574,0.0010940674749369236
2018Q3,4,89574,0.002712840779690535
2018Q3,5,89574,0.005381025744077523
2018Q3,6,89574,0.008707883984191842
2018Q3,7,89574,
2018Q3,8,89574,
2018Q3,9,89574,
2018Q3,10,89574,
2018Q3,11,89574,
2018Q3,12,89574,
2018Q3,13,89574,
2018Q3,14,89574,
2018Q3,15,89574,
2018Q3,16,89574,
2018Q3,17,89574,
2018Q3,18,89574,
2018Q3,19,89574,
2018Q3,20,89574,
2018Q3,21,89574,
2018Q3,22,89574,
2018Q3,23,89574,
2018Q3,24,89574,
2018Q3,25,89574,
2018Q3,26,89574,
2018Q3,27,89574,
2018Q3,28,89574,
2018Q3,29,89574,
2018Q3,30,89574,
2018Q4,1,88179,0.0
2018Q4,2,88179,0.0
2018Q4,3,88179,0.0015309767631749055
2018Q4,4,88179,
2018Q4,5,88179,
2018Q4,6,88179,
2018Q4,7,88179,
2018Q4,8,88179,
2018Q4,9,88179,
2018Q4,10,88179,
2018Q4,11,88179,
2018Q4,12,88179,
2018Q4,13,88179,
2018Q4,14,88179,
2018Q4,15,88179,
2018Q4,16,88179,
2018Q4,17,88179,
2018Q4,18,88179,
2018Q4,19,88179,
2018Q4,20,88179,
2018Q4,21,88179,
2018Q4,22,88179,
2018Q4,23,88179,
2018Q4,24,88179,
2018Q4,25,88179,
2018Q4,26,88179,
2018Q4,27,88179,
2018Q4,28,88179,
2018Q4,29,88179,
2018Q4,30,88179,
